[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	sr-b209-hcl1w32.ksd.edu	49633	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	ac-19-jstm5q2.ksd.edu	50255	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	ch-131-8jz91p2.ksd.edu	50498	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	sr-sub-8p3m5q2.ksd.edu	55553	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	wa-12-bhmh5q2.ksd.edu	56774	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	50144	sea15s08-in-f16.1e100.net	http	TIME_WAIT	1	345	1	830						
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	ac-19-jstm5q2.ksd.edu	50399	TIME_WAIT										
[System Process]	0	TCPV6	[fe80:0:0:0:fc95:f4d8:2886:9ef3]	50156	[fe80:0:0:0:483:9ea6:d8a2:b31a]	5357	TIME_WAIT			1							
[System Process]	0	TCPV6	[fe80:0:0:0:fc95:f4d8:2886:9ef3]	50157	[fe80:0:0:0:55ff:ef6:92bd:51c3]	5357	TIME_WAIT			1							
[System Process]	0	TCPV6	[fe80:0:0:0:fc95:f4d8:2886:9ef3]	50158	[fe80:0:0:0:28c3:eb80:2f51:df8b]	5357	TIME_WAIT			2	2,351						
[System Process]	0	TCPV6	[fe80:0:0:0:fc95:f4d8:2886:9ef3]	50159	[fe80:0:0:0:5070:1e40:e0cc:735]	5357	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	ad-it-78wyh12.ksd.edu	52861	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	ms-do	pa-sro-840r5q2.ksd.edu	49949	TIME_WAIT										
[System Process]	0	TCP	desktop-fcuahj5.ksd.edu	50149	sea15s08-in-f16.1e100.net	http	TIME_WAIT	1	345	1	830						
chrome.exe	5968	UDP	DESKTOP-FCUAHJ5	5353	*	*		4	160	12	1,104						
chrome.exe	5968	UDPV6	desktop-fcuahj5	5353	*	*											
gpg-agent.exe	1316	TCP	DESKTOP-FCUAHJ5	49749	DESKTOP-FCUAHJ5	0	LISTENING										
gpg-agent.exe	1316	TCP	DESKTOP-FCUAHJ5	49749	localhost	49789	ESTABLISHED										
gpg-agent.exe	1316	TCP	DESKTOP-FCUAHJ5	49749	localhost	49856	ESTABLISHED										
